name,type,region,locality,geolocation
house Vahrameeva,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
house Vitov,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
house Vorobyova,architecture,Saratov region,Saratov,"(Decimal('46.076037'), Decimal('51.58032'))"
house Vorontsov,architecture,Republic of Crimea,Simferopol,"(Decimal('34.103722'), Decimal('44.942247'))"
second home,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
house Galibina,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Garelina,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
St George's House fraternity,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House superiors mining plants,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Gribushin,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
house Gubin,architecture,Lipetsk region,Lipetsk,"(Decimal('39.59922'), Decimal('52.60882'))"
house Guseva,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
House DM smith,architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
"House DF Babina, 1804 - 1806 years",architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House of Nobility Assembly,architecture,Kaluga region,Kaluga,"(Decimal('36.263784'), Decimal('54.506857'))"
Demidov's house,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.990581'), Decimal('54.720231'))"
House Dmitry Sidorov,architecture,Voronezh region,Nižnedevick,"(Decimal('38.361629'), Decimal('51.541097'))"
house Dovlatova,architecture,Pskov region,Berezino,"(Decimal('28.926588'), Decimal('57.042601'))"
house Dyurshmidta,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
Home EK Kuklina,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
"House EP Naryshkina, wives of the Decembrists MM Naryshkin",architecture,Transbaikal region,Chita,"(Decimal('114.029537'), Decimal('51.808188'))"
Home EG Ikonnikovoy,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
House EY riding,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
Europa house,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
house Zheleznova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Zasetskaya,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Zverkov,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Zinger house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House Zinkovetskogo (Officers' House),architecture,Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
House I. Merkuleva,architecture,Astrakhan region,Astrakhan,"(Decimal('47.993761'), Decimal('46.312972'))"
"House I. Repin, 1815",architecture,Kirov region,Kirov,"(Decimal('49.719343'), Decimal('58.49252'))"
House I. Sayapina,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
IV house Malyshev,architecture,Kostroma region,Kostroma,"(Decimal('40.898894'), Decimal('57.733973'))"
House IG Vedernikov,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
House II Menshikov,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.660823'), Decimal('51.869022'))"
House II Feinberg,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
Home ip Voynova,architecture,Tyumen region,Tyumen,"(Decimal('65.580268'), Decimal('57.169565'))"
IF House Stikhin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.932943'), Decimal('55.021075'))"
House Ivan Polyashova,architecture,Kostroma region,Pogorelovo,"(Decimal('43.130668'), Decimal('58.825872'))"
House Ivan Steingel,architecture,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
house Ignatiev,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House K Firstova,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House KP Buzolin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
house Kamenskih,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Baia-Karim (center of Tatar culture),architecture,Tomsk region,Tomsk,"(Decimal('85.050946'), Decimal('56.469513'))"
house Kligman,architecture,Voronezh region,Voronezh,"(Decimal('39.164247'), Decimal('51.701105'))"
house Kolmogorovs,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
house Kornilov,architecture,Tyumen region,Tobolsk,"(Decimal('68.232993'), Decimal('58.195698'))"
house Kostromina,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Kuchina / house Klinkstrem,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Kyuzelya,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
LI house Rodionova,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
house Laval,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Laval,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Dom Левашова,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Lesniewski,architecture,Altai region,Barnaul,"(Decimal('83.774503'), Decimal('53.362495'))"
House Lobanov-Rostovsky,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Loktev,architecture,Moscow region,Zaraysk,"(Decimal('38.874845'), Decimal('54.756973'))"
house Lukin,architecture,Transbaikal region,Chita,"(Decimal('118.645746'), Decimal('52.459782'))"
House MN Zamyatnin,architecture,Voronezh region,Voronezh,"(Decimal('39.164247'), Decimal('51.701105'))"
Marian House Sazonov,architecture,Kostroma region,Ostašovo,"(Decimal('43.080398'), Decimal('58.688099'))"
house Meshkov,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
Home Michael,architecture,Sevastopol,Juniperus excelsa Balaklava,"(Decimal('33.599857'), Decimal('44.501214'))"
trapped Moʙerga,architecture,The Republic of Karelia,Kalevala,"(Decimal('31.184413'), Decimal('65.197743'))"
house Muruzi,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
NI house Klabukova,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
Nicholas House Basin,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.466507'), Decimal('59.865072'))"
Home Nosovycha,architecture,Altai region,Barnaul,"(Decimal('83.774503'), Decimal('53.362495'))"
House Orlova-Davydova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Home P. E. Borisova,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
Home PI Podarueva,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House PG Arshaulova,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
PD House Dolishte,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
House PI Dempsey,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.990581'), Decimal('54.720231'))"
House PI Tchaikovsky,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.35278'), Decimal('59.94654'))"
Memory house,architecture,Orenburg region,Orenburg,"(Decimal('55.096955'), Decimal('51.768199'))"
house Panyov,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Perepilihi,architecture,Arhangelsk region,Uemsky,"(Decimal('40.862476'), Decimal('64.475911'))"
house Pereslavtseva,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
House Pakleŭski-Kozell,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
dom Popova,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.902415'), Decimal('58.031132'))"
house Pryanichnikova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House Paunch-Puzyrevskii,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
Raskolnikov house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House of Russian Literary Society,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
SA house Pendzinskogo,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
house S.A.Shillinga,architecture,Transbaikal region,Chita,"(Decimal('118.645746'), Decimal('52.459782'))"
"Savintseva House (House, where princes Romanovs lived)",architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
house Saltykov,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.367395'), Decimal('59.943368'))"
home Sveshnikova,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Sevastyanov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Sedova,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
House Sergei Dovlatov,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.34015'), Decimal('59.925421'))"
house Sinakevicha,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
Home Sirotkina,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
house Sitnikov,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
house Smyshlyaeva,architecture,Perm,Permian,"(Decimal('56.26463'), Decimal('57.989341'))"
House of Soviets,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House of Soviets,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.989395'), Decimal('56.279337'))"
House Sophia Perovskoy,architecture,Pskov region,Pskov,"(Decimal('28.359751'), Decimal('57.818047'))"
House TG Shevchenko,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.242898'), Decimal('59.936837'))"
house Tverdova,architecture,Nizhny Novgorod Region,Arzamas,"(Decimal('43.815687'), Decimal('55.386666'))"
house Telegin,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
dom Thompson,architecture,Yaroslavskaya oblast,Myshkin,"(Decimal('38.454587'), Decimal('57.786654'))"
house Tonkonogovyh,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
house Trezzini,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.288101'), Decimal('59.936562'))"
house Tupitsyn,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
House UO Petelina,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('61.030139'), Decimal('59.481254'))"
home Haritonenko,architecture,Belgorod region,Red Yaruga,"(Decimal('35.658041'), Decimal('50.800972'))"
house Shilya,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Shuvalov,architecture,Perm,Lysva,"(Decimal('57.807244'), Decimal('58.058326'))"
House EG Skribanovich,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
house Yakunchikova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house actor,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
House of the English congregation,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
House pharmacist Ulrich,architecture,Lipetsk region,zadonsk,"(Decimal('38.919456'), Decimal('52.391972'))"
architect house,architecture,Altai region,Barnaul,"(Decimal('83.774503'), Decimal('53.362495'))"
House architect (Daum Rysin),architecture,Volgograd region,Volgograd,"(Decimal('44.483639'), Decimal('48.684565'))"
House architect FE Ponomareva,architecture,Transbaikal region,Chita,"(Decimal('118.645746'), Decimal('52.459782'))"
House Ataman FY Bursak,architecture,Krasnodar region,Krasnodar,"(Decimal('38.935473'), Decimal('45.131536'))"
House Brothers Stoletovs,architecture,Vladimir region,Vladimir,"(Decimal('40.413121'), Decimal('56.133076'))"
House Deputy Governor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
house magistrates,architecture,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
house magistrates,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
House of the military governor of the Amur region,architecture,Amur region,Blagoveshchensk,"(Decimal('128.13341'), Decimal('51.689398'))"
House Volga Shipping,architecture,Yaroslavskaya oblast,Myshkin,"(Decimal('38.454587'), Decimal('57.786654'))"
House doctor SV Martynov,architecture,Voronezh region,Voronezh,"(Decimal('39.164247'), Decimal('51.701105'))"
House vyat governors,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
House mountain chief,architecture,The Republic of Karelia,Petrozavodsk,"(Decimal('34.33591'), Decimal('61.806405'))"
Home city architect KP Chakin,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House Mayor F. In Shvetova,architecture,Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
house the mayor,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
house movers,architecture,Volgograd region,Volgograd,"(Decimal('44.483639'), Decimal('48.684565'))"
governor's house,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
governor's house,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.990581'), Decimal('54.720231'))"
House noblewoman Voitkevich,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House of Nobility Assembly,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Decembrist Rosen,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
House for bank employees,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.917546'), Decimal('54.99243'))"
house railway workers,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.989395'), Decimal('56.279337'))"
The house is habitable,architecture,Tyumen region,Tyumen,"(Decimal('65.523036'), Decimal('57.151969'))"
Home and Hospital Dr. IA Syano,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
The house from the manor NI Davydov,architecture,Tyumen region,Tyumen,"(Decimal('65.534328'), Decimal('57.153033'))"
Engineer House Ostaptsa,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
Treasury house,architecture,Yaroslavskaya oblast,Myshkin,"(Decimal('38.454587'), Decimal('57.786654'))"
House of Princess Gagarina,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house of Composers,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
house konservschikov,architecture,Volgograd region,Volgograd,"(Decimal('44.483639'), Decimal('48.684565'))"
House peasant AY Kapitanova,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
priest house,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
House of Culture of the October Revolution,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.909659'), Decimal('55.026432'))"
House Merchant Assembly,architecture,Kaluga region,Kaluga,"(Decimal('36.263784'), Decimal('54.506857'))"
House of the Holy Spirit merchant guild,architecture,Leningrad region,Vyborg,"(Decimal('29.486516'), Decimal('60.420888'))"
House Merchant AD Rychin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
House Merchant AMLushnikov,architecture,The Republic of Buryatia,Kyakhtinsky,"(Decimal('106.449903'), Decimal('50.355214'))"
House of merchant A. Lebedev,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
House Merchant Alekseeva,architecture,Volgograd region,Volgograd,"(Decimal('44.404147'), Decimal('48.574612'))"
House Merchant Borodkin,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
House Merchant VI Smirnova,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.841289'), Decimal('56.234105'))"
